name,country,mouse,dpi,sens
ta1yo,Japan,VAXEE OUTSET AX,1600,0.323
Jay3,United States,Logitech G403 HERO,800,0.617
Gale Adelade,United States,Razer Viper 8KHz,800,0.617
Shu,South Korea,ZOWIE EC1,800,0.617
Spoit,Sweden,ZOWIE ZA13-C,800,0.617
eraa,Sweden,VAXEE OUTSET AX Funspark,400,1.8
Viol2t,South Korea,Logitech G403 HERO,800,0.617
LIP,South Korea,Logitech G Pro X Superlight Black,800,0.617
ChiYo,South Korea,Logitech G Pro X Superlight Black,800,0.617
SP9RK1E,South Korea,Razer Viper V2 Pro Black,800,0.617
Decay,South Korea,Logitech G Pro Wireless,1600,0.323
emongg,United States,Logitech G Pro X Superlight Black,400,1.714
smurf,South Korea,Logitech G Pro X Superlight White,800,0.617
Julio,Thailand,Logitech G Pro X Superlight Black,400,1.714
Insight,Australia,ZOWIE EC2,1600,0.323
Marcelek,Poland,Logitech G Pro X Superlight Black,800,0.617
Uncivil,United States,Logitech G Pro X Superlight Magenta,800,0.617
nafen,United States,FinalMouse Starlight-12,800,1.8
WackyJacky101,Denmark,SteelSeries Prime,800,0.617
Viss,United States,Logitech G Pro Wireless,400,8.8
steel,Brazil,Razer Deathadder V3 Pro Black,400,1.6
Sweet,United States,Finalmouse Starlight-12 Phantom,800,1.4
Lucky,Denmark,SteelSeries Rival 300,1600,0.7
xsepower,Russia,ZOWIE EC2-B Divina Blue,400,2.2
LUCAS1,Brazil,ZOWIE EC2-A White,400,2.2
Walco,Canada,Logitech G Pro X Superlight Black,400,1.55
tudsoN,Poland,SteelSeries Prime Wireless,400,2.0
honda,Brazil,Pulsar Xlite V2 mini Wireless,400,1.2
POKAMOLODOY,Russia,Glorious Model D,800,0.617
Kvem,Ukraine,Logitech G Pro X Superlight Magenta,400,3.0
neaLaN,Kazakhstan,Razer Deathadder V3 Pro White,400,2.0
Luke12,Australia,Logitech G Pro X Superlight Black,1600,0.323
aLOW,United States,ZOWIE EC1-B,400,1.714
v1c,United States,Logitech G Pro X Superlight White,800,0.196
Kickstart,United States,ZOWIE FK1-C,800,0.617
adreN,United States,Logitech G Pro Wireless,400,2.25
DD,China,ZOWIE S2 Divina Pink,400,2.4
Sharpshot,Cuba,Logitech G Pro X Superlight Black,800,0.617
fox,Portugal,VAXEE XE Wireless Blue,400,4.7
maty,Lithuania,ZOWIE EC2-B Divina Pink,400,1.7
leo_drk,Brazil,Pulsar Xlite Wireless,400,1.4
Nodios,Denmark,ZOWIE EC1-A,400,1.51
autimatic,United States,Logitech G Pro X Superlight White,400,2.024
Braexco,Germany,Logitech G Pro X Superlight Black,800,0.617
DUCKMANZ,Thailand,ZOWIE FK2,400,1.714
RUSH,United States,Logitech G Pro X Superlight Black,400,2.4
Nourinz,Thailand,FinalMouse Starlight-12,400,1.714
Conaxy,Thailand,Logitech G203,400,1.714
Jeorge,United States,Logitech G Pro X Superlight Black,800,1.55
refrezh,Denmark,Logitech G Pro X Superlight Black,400,1.9
